macro-category,id,titolo,testo
Cognitività e flusso della coscienza,16,Discordanza tra intenzione ed espressione,"Ho la sensazione di non riuscire a esprimere davvero ciò che vorrei, né a parole né con i miei comportamenti."
Cognitività e flusso della coscienza,17,Disturbo del linguaggio espressivo,Faccio fatica a trovare le parole giuste per dire quello che penso o provo.
Consapevolezza del Sé e Presenza,18,Diminuito senso del Sé di base,"Ho un senso pervasivo di vuoto interiore, come se non avessi una vera identità o fossi profondamente diverso dagli altri."
Consapevolezza del Sé e Presenza,19,Distorta prospettiva in prima persona,"Ho la sensazione di essere distante da me stesso, come se osservassi costantemente i miei pensieri e le mie azioni dall'esterno invece di viverli direttamente."
Consapevolezza del Sé e Presenza,20,Altri stati di depersonalizzazione,"Mi sento estraneo a me stesso, come se non fossi più la stessa persona di prima."
Consapevolezza del Sé e Presenza,21,Diminuita presenza,"Anche quando mi capita qualcosa di bello, resto emotivamente freddo e distaccato."
Consapevolezza del Sé e Presenza,22,Derealizzazione,"L'ambiente intorno a me mi sembra a volte trasformato, irreale o estraneo."
Consapevolezza del Sé e Presenza,23,Iperriflessività,"Devo continuamente riflettere su cosa pensare o come comportarmi, come se nulla avvenisse più in modo spontaneo."
Consapevolezza del Sé e Presenza,24,Scissione dell'Io,"Ho la sensazione che la mia personalità sia divisa in più parti, come se non fossi un tutto unico."
Consapevolezza del Sé e Presenza,25,Depersonalizzazione dissociativa,"Ho la sensazione di guardarmi dall'esterno, come se fossi un doppio che osserva se stesso."
Consapevolezza del Sé e Presenza,26,Confusione dell'identità,"Mi capita di confondermi con un'altra persona, come se fossi lei."
Consapevolezza del Sé e Presenza,27,Cambiamento in relazione all'età,Mi sento più giovane o più vecchio rispetto alla mia reale età.
Consapevolezza del Sé e Presenza,28,Cambiamento in relazione al genere,"Provo confusione riguardo al mio genere, o penso di poter essere del sesso opposto al mio."
Consapevolezza del Sé e Presenza,29,Perdita del senso comune,"Mi manca una comprensione automatica e naturale delle cose, e mi ritrovo a riflettere e interrogarmi continuamente anche su questioni banali."
Consapevolezza del Sé e Presenza,30,Ansia,Sono una persona ansiosa.
Consapevolezza del Sé e Presenza,31,Ansia ontologica,"Provo un senso pervasivo di insicurezza e vulnerabilità, come se un pericolo indefinito incombesse su di me."
Consapevolezza del Sé e Presenza,32,Diminuita trasparenza della coscienza,"Mi sento come annebbiato nella testa, come se non fossi mai pienamente sveglio o lucido."
Consapevolezza del Sé e Presenza,33,Diminuzione dell'iniziativa,"Faccio fatica a iniziare qualsiasi attività, come se ogni azione richiedesse uno sforzo eccessivo."
Consapevolezza del Sé e Presenza,34,Ipoedonia,Non riesco più a provare piacere per le cose che prima mi piacevano.
Consapevolezza del Sé e Presenza,35,Diminuita vitalità,"Mi sento privo di energia, sia fisica che mentale, senza una vera ragione."
Esperienze corporee,36,Cambiamento morfologico,"Ho la sensazione che alcune parti del mio corpo abbiano dimensioni diverse dal solito, più piccole, più grandi o schiacciate."
Esperienze corporee,37,Fenomeni legati allo specchio,"Mi guardo spesso allo specchio per controllare se il mio aspetto è cambiato, o addirittura per assicurarmi di esistere davvero."
Esperienze corporee,38,Depersonalizzazione somatica,"Percepisco una parte del mio corpo come estranea, isolata dal resto o come se non fosse davvero mia."
Esperienze corporee,39,Discordanza psicofisica,"Sento una distanza tra la mia mente e il mio corpo, come se fossero due entità scollegate."
Esperienze corporee,40,Disintegrazione corporea,Ho la sensazione che una parte del mio corpo si stia dissolvendo o perdendo consistenza.
Esperienze corporee,41,Spazializzazione delle esperienze corporee,Riesco ad avvertire fisicamente i miei organi interni e le loro attività.
Esperienze corporee,42,Esperienze cenestesiche,"Ho sensazioni fisiche strane e insolite nel corpo, come scosse elettriche, pressioni o cambiamenti di temperatura senza causa apparente."
Esperienze corporee,43,Disturbi motori,"Mi capita di percepire movimenti nel mio corpo che gli altri non vedono, o di bloccarmi improvvisamente durante un'azione."
Esperienze corporee,44,Esperienza mimetica/risonanza del movimento,Ho la sensazione che i movimenti di altre persone o oggetti siano in qualche modo collegati ai miei movimenti.
Demarcazione/Transitivismo,45,Confusione con l'altro,"Mi sento come invaso o mischiato con gli altri, al punto da non capire più se i pensieri e i sentimenti che provo siano davvero miei."
Demarcazione/Transitivismo,46,Confusione con la propria immagine riflessa,"Mi capita di non riconoscermi nella mia immagine riflessa allo specchio o in una fotografia, come se non fossi io."
Demarcazione/Transitivismo,47,Contatto corporeo vissuto come minaccia,"Il contatto fisico con un'altra persona mi provoca ansia estrema, o mi fa sentire come se stessi scomparendo."
Demarcazione/Transitivismo,48,Stato d'animo di passività,"Mi sento oppresso da qualcosa di indefinito e minaccioso, come se fossi in balìa di un pericolo che non so descrivere."
Demarcazione/Transitivismo,49,Altri fenomeni di transitivismo,"Mi sento come trasparente, come se gli altri potessero leggere dentro di me senza che ci sia una vera barriera tra noi."
Riorientamento Esistenziale,50,Fenomeni primari di autoriferimento,Ho la sensazione che ciò che accade intorno a me sia in qualche modo originato da me o riferito direttamente a me.
Riorientamento Esistenziale,51,Sentimento di centralità,"Ho la sensazione, anche solo per un momento, di essere al centro dell'universo."
Riorientamento Esistenziale,52,Il proprio campo esperienziale come unica realtà,"Ho la sensazione che solo ciò che percepisco io sia davvero reale, come se il resto non esistesse."
Riorientamento Esistenziale,53,Sentimento di straordinario potere creativo/insight,Ho la sensazione di avere un potere creativo straordinario o un accesso privilegiato a dimensioni nascoste della realtà.
Riorientamento Esistenziale,54,Il mondo come apparente o illusorio,"Ho la sensazione che il mondo che vivo non sia veramente reale, ma solo apparente o illusorio."
Riorientamento Esistenziale,55,Idee magiche,Penso che certi eventi possano essere collegati tra loro da una causa non fisica o magica.
Riorientamento Esistenziale,56,Cambiamento esistenziale o intellettuale,"Mi ritrovo spesso a riflettere in modo nuovo e intenso su temi esistenziali, filosofici o religiosi."
Riorientamento Esistenziale,57,Grandiosità solipsistica,Penso di possedere conoscenze o capacità straordinarie che mi rendono superiore agli altri.
